emg;time
1497;2
1498;4
1499;7
1499;9
1499;11
1499;13
1500;16
1501;18
1500;20
1498;23
1500;25
1504;27
1507;30
1506;32
1504;34
1500;36
1498;39
1498;41
1497;44
1498;47
1498;49
1497;51
1497;54
1498;56
1502;58
1502;61
1501;63
1500;65
1499;67
1498;70
1498;72
1498;74
1498;77
1499;79
1500;81
1502;84
1502;87
1504;89
1506;91
1504;94
1502;96
1499;98
1497;101
1496;103
1494;105
1496;108
1499;110
1501;112
1501;115
1501;117
1500;120
1499;122
1499;124
1500;128
1501;130
1499;132
1499;135
1499;137
1501;139
1500;142
1499;144
1500;146
1498;149
1497;151
1497;153
1496;156
1498;158
1501;161
1501;163
1499;165
1500;168
1501;171
1504;173
1507;176
1508;178
1508;180
1505;183
1500;185
1497;187
1496;190
1495;192
1497;194
1499;197
1499;199
1497;202
1495;204
1493;206
1493;209
1496;211
1500;214
1503;217
1506;219
1507;221
1505;224
1503;226
1501;228
1503;231
1504;233
1505;236
1501;238
1497;240
1497;243
1498;245
1497;247
1494;250
1494;252
1495;254
1495;258
1495;260
1494;262
1496;265
1496;267
1496;269
1496;272
1496;274
1496;277
1497;279
1497;281
1498;284
1498;286
1498;288
1497;291
1494;293
1494;295
1496;299
1499;301
1500;303
1500;306
1498;308
1497;310
1500;313
1505;315
1508;318
1508;320
1508;322
1502;325
1499;327
1498;329
1497;332
1501;334
1502;336
1504;339
1505;342
1502;344
1500;347
1499;349
1498;352
1496;354
1495;356
1495;359
1499;361
1503;363
1504;366
1504;368
1501;370
1497;373
1501;375
1506;377
1506;380
1506;382
1502;385
1499;388
1497;390
1496;393
1500;395
1505;397
1505;400
1501;402
1497;404
1496;407
1498;409
1503;411
1502;414
1498;416
1496;418
1495;421
1490;423
1488;425
1488;429
1490;431
1492;434
1493;436
1495;438
1496;441
1496;443
1497;445
1497;448
1494;450
1492;452
1492;455
1494;457
1495;459
1494;462
1493;464
1491;467
1490;470
1491;472
1498;475
1504;477
1504;479
1501;482
1495;484
1491;486
1490;489
1488;491
1486;493
1484;496
1487;498
1492;500
1491;503
1491;505
1489;508
1487;510
1485;513
1486;516
1489;518
1490;520
1489;523
1489;525
1499;527
1503;530
1501;532
1500;534
1499;537
1494;539
1491;541
1491;544
1489;546
1484;549
1483;551
1482;553
1483;557
1483;559
1484;561
1487;564
1492;566
1495;568
1495;571
1495;573
1493;575
1492;578
1491;580
1495;583
1495;585
1491;587
1488;590
1488;592
1489;594
1490;598
1490;600
1488;602
1487;605
1487;607
1487;609
1491;612
1495;614
1496;616
1495;619
1493;621
1491;624
1488;626
1492;628
1497;631
1502;633
1502;635
1499;638
1494;641
1493;643
1492;646
1491;648
1489;650
1485;653
1485;655
1487;657
1491;660
1494;662
1494;665
1493;667
1492;669
1489;672
1487;674
1486;676
1486;679
1489;681
1493;684
1500;687
1501;689
1499;691
1495;694
1493;696
1497;699
1499;701
1498;703
1498;706
1496;708
1491;710
1487;713
1489;715
1493;717
1493;720
1490;722
1488;724
1488;728
1487;730
1486;732
1486;735
1488;737
1491;740
1495;742
1496;744
1495;747
1493;749
1493;751
1494;754
1494;756
1493;758
1491;761
1489;763
1489;765
1492;769
1494;771
1496;774
1496;776
1493;778
1491;781
1491;783
1493;785
1495;788
1495;790
1494;792
1492;795
1490;797
1490;799
1491;802
1494;804
1495;806
1495;809
1496;812
1494;815
1489;817
1486;819
1485;822
1485;824
1487;826
1488;829
1488;831
1487;833
1488;836
1490;838
1491;840
1493;843
1498;845
1500;847
1499;850
1495;852
1492;856
1493;858
1495;860
1497;863
1495;865
1493;867
1490;870
1489;872
1488;874
1488;877
1491;879
1493;881
1494;884
1493;886
1492;889
1492;891
1492;893
1491;897
1492;899
1493;901
1495;904
1504;906
1506;908
1500;911
1495;913
1490;915
1492;918
1493;920
1491;922
1491;925
1490;927
1490;930
1490;932
1491;934
1491;937
1491;940
1491;942
1491;945
1491;947
1494;949
1497;952
1497;954
1496;956
1493;959
1491;961
1490;964
1490;966
1492;968
1492;971
1491;973
1493;975
1497;978
1498;980
1498;983
1494;986
1491;988
1490;990
1489;993
1488;995
1487;997
1487;1000
1486;1002
1488;1005
1492;1007
1495;1009
1494;1012
1493;1014
1492;1017
1492;1019
1490;1022
1487;1025
1487;1027
1492;1030
1496;1032
1497;1035
1494;1037
1491;1039
1489;1042
1488;1044
1488;1047
1488;1049
1489;1051
1491;1054
1492;1056
1493;1059
1495;1061
1498;1063
1501;1067
1503;1069
1504;1072
1501;1074
1499;1076
1495;1079
1492;1081
1491;1084
1490;1086
1490;1088
1490;1091
1490;1093
1492;1096
1492;1098
1491;1100
1491;1103
1492;1105
1491;1108
1492;1111
1493;1113
1493;1116
1491;1118
1493;1121
1493;1123
1493;1126
1495;1128
1497;1130
1497;1133
1496;1135
1496;1138
1494;1140
1494;1142
1494;1145
1495;1147
1495;1150
1494;1153
1494;1155
1494;1158
1493;1160
1493;1163
1497;1165
1498;1167
1498;1170
1497;1172
1495;1175
1496;1177
1495;1179
1495;1182
1496;1184
1498;1187
1497;1189
1497;1191
1497;1195
1495;1197
1493;1200
1491;1202
1490;1204
1491;1207
1495;1209
1499;1212
1499;1214
1497;1217
1497;1219
1496;1221
1493;1224
1490;1226
1491;1229
1492;1231
1493;1233
1494;1236
1493;1239
1494;1242
1496;1244
1497;1246
1497;1249
1495;1251
1493;1254
1493;1256
1492;1258
1491;1261
1492;1263
1493;1266
1494;1268
1496;1270
1498;1273
1496;1275
1496;1278
1497;1281
1498;1283
1496;1286
1495;1288
1496;1291
1498;1293
1501;1295
1501;1298
1499;1300
1497;1303
1495;1305
1494;1308
1496;1310
1499;1312
1502;1315
1504;1317
1506;1320
1507;1323
1506;1325
1504;1328
1503;1330
1503;1333
1505;1335
1506;1337
1504;1340
1501;1342
1501;1345
1502;1347
1506;1349
1508;1352
1507;1354
1505;1357
1503;1359
1505;1361
1505;1364
1506;1367
1508;1370
1509;1372
1510;1374
1506;1377
1503;1379
1503;1382
1503;1384
1503;1386
1502;1389
1501;1391
1503;1394
1505;1396
1506;1398
1509;1401
1513;1403
1512;1406
1511;1409
1510;1412
1507;1414
1505;1416
1502;1419
1503;1421
1509;1424
1516;1426
1518;1428
1518;1431
1517;1433
1512;1436
1508;1438
1505;1440
1503;1443
1501;1445
1499;1448
1498;1451
1497;1453
1496;1456
1495;1458
1495;1461
1494;1463
1494;1465
1495;1468
1496;1470
1496;1473
1497;1475
1497;1477
1497;1480
1497;1482
1497;1485
1497;1487
1497;1490
1497;1492
1497;1495
1497;1498
1497;1500
1498;1503
1501;1505
1516;1507
1532;1510
1540;1512
1550;1515
1564;1517
1571;1519
1569;1522
1580;1524
1596;1527
1606;1529
1600;1531
1583;1534
1586;1537
1608;1540
1624;1542
1628;1544
1616;1547
1601;1549
1571;1552
1559;1554
1583;1556
1589;1559
1566;1561
1520;1564
1476;1566
1462;1568
1489;1571
1504;1573
1512;1576
1542;1579
1548;1582
1522;1584
1513;1586
1514;1589
1505;1591
1485;1594
1478;1596
1471;1598
1469;1601
1469;1603
1469;1606
1477;1608
1503;1610
1507;1613
1491;1615
1472;1618
1455;1620
1466;1623
1477;1626
1476;1628
1464;1631
1459;1633
1462;1635
1456;1638
1452;1640
1447;1643
1451;1645
1460;1647
1459;1650
1448;1652
1440;1655
1439;1657
1444;1660
1448;1662
1448;1665
1450;1668
1453;1670
1464;1673
1478;1675
1477;1677
1463;1680
1450;1682
1450;1685
1455;1687
1458;1689
1483;1692
1487;1694
1483;1697
1473;1699
1469;1701
1493;1704
1498;1707
1485;1710
1469;1712
1458;1714
1454;1717
1454;1719
1480;1722
1511;1724
1508;1726
1488;1729
1454;1731
1461;1734
1473;1736
1471;1738
1461;1741
1441;1743
1428;1746
1421;1748
1417;1751
1416;1754
1416;1756
1413;1759
1422;1761
1424;1764
1414;1766
1414;1768
1420;1771
1420;1773
1402;1776
1385;1778
1379;1780
1380;1783
1383;1785
1378;1788
1374;1790
1390;1793
1404;1796
1398;1798
1387;1801
1382;1803
1387;1805
1388;1808
1390;1810
1385;1813
1379;1815
1383;1817
1393;1820
1408;1822
1407;1825
1401;1827
1408;1829
1412;1832
1405;1835
1418;1838
1435;1840
1449;1842
1458;1845
1448;1847
1431;1850
1410;1852
1407;1854
1429;1857
1451;1859
1452;1862
1448;1864
1435;1867
1426;1869
1422;1871
1451;1874
1471;1876
1466;1880
1461;1882
1449;1884
1437;1887
1429;1889
1436;1892
1452;1894
1488;1896
1483;1899
1458;1901
1431;1904
1421;1906
1437;1908
1456;1911
1464;1913
1452;1916
1442;1918
1450;1921
1477;1924
1510;1926
1508;1929
1490;1931
1472;1933
1446;1936
1439;1938
1438;1941
1458;1943
1472;1945
1468;1948
1457;1950
1444;1953
1456;1955
1464;1958
1483;1960
1502;1963
1489;1966
1467;1968
1454;1971
1453;1973
1456;1975
1458;1978
1445;1980
1443;1983
1461;1985
1479;1987
1486;1990
1474;1992
1472;1995
1480;1997
1478;1999
1470;2002
1456;2004
1465;2008
1484;2010
1508;2012
1501;2015
1491;2017
1476;2020
1461;2022
1450;2024
1444;2027
1450;2029
1459;2032
1463;2034
1467;2036
1507;2039
1530;2041
1534;2044
1514;2046
1485;2050
1480;2052
1474;2054
1473;2057
1481;2059
1485;2062
1475;2064
1471;2066
1467;2069
1467;2071
1471;2074
1492;2076
1504;2078
1494;2081
1488;2083
1479;2086
1469;2088
1486;2091
1492;2094
1505;2096
1512;2099
1496;2101
1479;2103
1468;2106
1487;2108
1498;2111
1485;2113
1482;2115
1482;2118
1480;2120
1476;2123
1483;2125
1520;2127
1522;2130
1499;2132
1467;2136
1454;2138
1459;2141
1474;2143
1497;2145
1508;2148
1502;2150
1486;2153
1476;2155
1511;2157
1524;2160
1512;2162
1490;2165
1473;2167
1471;2169
1479;2172
1493;2174
1508;2178
1507;2180
1505;2182
1514;2185
1506;2187
1491;2190
1506;2192
1529;2194
1519;2197
1498;2199
1474;2202
1463;2204
1492;2206
1531;2209
1548;2211
1541;2214
1505;2216
1472;2220
1453;2222
1459;2224
1479;2227
1505;2229
1527;2232
1528;2234
1498;2236
1483;2239
1484;2241
1488;2244
1485;2246
1467;2248
1468;2251
1500;2253
1501;2256
1478;2258
1466;2260
1481;2264
1485;2266
1476;2269
1475;2271
1497;2273
1504;2276
1500;2278
1489;2281
1484;2283
1480;2285
1463;2288
1473;2290
1509;2293
1531;2295
1518;2297
1487;2300
1460;2302
1463;2306
1479;2308
1477;2311
1492;2313
1497;2315
1496;2318
1486;2320
1476;2323
1491;2325
1508;2327
1503;2330
1484;2332
1470;2335
1477;2337
1476;2339
1486;2342
1507;2344
1535;2348
1530;2350
1505;2352
1493;2355
1473;2357
1460;2360
1473;2362
1508;2364
1523;2367
1529;2369
1508;2372
1488;2374
1469;2377
1464;2379
1463;2381
