emg;time
1498;2
1497;4
1496;7
1495;9
1494;11
1492;13
1491;16
1490;18
1490;20
1489;23
1488;25
1488;27
1487;30
1487;32
1486;34
1486;36
1485;39
1485;41
1484;44
1484;47
1484;49
1483;51
1483;54
1483;56
1483;58
1483;61
1482;63
1482;65
1482;67
1482;70
1482;72
1482;74
1483;77
1483;79
1483;81
1483;84
1485;87
1486;89
1485;91
1485;94
1484;96
1483;98
1483;101
1482;103
1482;105
1481;108
1480;110
1479;112
1479;115
1478;117
1478;120
1478;122
1478;124
1477;128
1477;130
1476;132
1476;135
1475;137
1475;139
1475;142
1475;144
1475;146
1475;149
1475;151
1475;153
1476;156
1476;158
1476;161
1477;163
1477;165
1478;168
1479;171
1479;173
1480;176
1481;178
1482;180
1482;183
1482;185
1482;187
1482;190
1482;192
1483;195
1483;197
1483;199
1483;202
1482;204
1482;206
1482;209
1482;211
1482;214
1482;217
1482;219
1482;221
1483;224
1484;226
1484;228
1485;231
1486;233
1487;236
1488;238
1489;240
1490;243
1490;245
1491;247
1492;250
1494;252
1494;254
1495;258
1495;260
1495;262
1495;265
1496;267
1496;269
1497;272
1497;274
1497;277
1498;279
1498;281
1498;284
1499;286
1499;288
1500;291
1500;293
1501;295
1502;299
1503;301
1503;303
1504;306
1504;308
1504;311
1504;313
1503;315
1503;318
1504;320
1505;322
1505;325
1505;327
1505;329
1505;332
1505;334
1505;336
1505;339
1506;342
1506;344
1506;347
1506;349
1507;352
1507;354
1508;356
1509;359
1510;361
1510;363
1510;366
1509;368
1509;370
1510;373
1509;375
1509;377
1510;380
1510;382
1510;385
1509;388
1509;390
1508;393
1508;395
1508;397
1510;400
1510;402
1510;404
1510;407
1511;409
1511;411
1510;414
1509;416
1508;418
1507;421
1506;423
1507;427
1507;429
1508;431
1509;434
1510;436
1511;438
1510;441
1507;443
1504;445
1503;448
1501;450
1500;452
1500;455
1500;457
1500;459
1499;462
1499;464
1498;467
1499;470
1499;472
1499;475
1498;477
1497;479
1497;482
1497;484
1498;486
1497;489
1497;491
1498;493
1499;496
1499;498
1499;501
1498;503
1498;505
1498;508
1497;510
1496;513
1495;516
1494;518
1494;520
1494;523
1494;525
1494;527
1494;530
1494;532
1494;534
1494;537
1495;539
1495;542
1495;544
1495;546
1496;549
1497;551
1500;553
1501;557
1501;559
1499;561
1499;564
1497;566
1495;568
1493;571
1492;573
1491;575
1489;578
1489;580
1488;583
1488;585
1487;587
1487;590
1487;592
1487;594
1487;598
1488;600
1487;602
1486;605
1486;607
1487;609
1487;612
1487;614
1487;617
1487;619
1488;621
1488;624
1489;626
1488;628
1487;631
1487;633
1487;635
1487;638
1487;641
1488;643
1488;646
1490;648
1490;650
1491;653
1491;655
1492;658
1492;660
1492;662
1493;665
1493;667
1493;669
1493;672
1494;674
1494;676
1495;679
1495;681
1496;684
1496;687
1496;689
1495;692
1495;694
1494;696
1494;699
1493;701
1493;703
1493;706
1494;708
1494;710
1496;713
1500;715
1503;717
1505;720
1506;722
1505;724
1504;728
1503;730
1503;733
1502;735
1502;737
1502;740
1502;742
1502;744
1501;747
1501;749
1501;751
1501;754
1502;756
1502;758
1502;761
1503;763
1503;766
1503;769
1503;771
1503;774
1503;776
1503;778
