emg;time
1504;2
1503;4
1503;7
1501;9
1501;11
1498;13
1498;16
1499;18
1503;20
1505;23
1505;25
1502;27
1499;30
1499;32
1501;34
1503;36
1508;39
1508;41
1506;44
1502;47
1505;49
1505;51
1502;54
1501;56
1505;58
1511;61
1511;63
1507;65
1502;67
1501;70
1499;72
1497;74
1497;77
1497;79
1497;81
1498;84
1499;87
1501;89
1502;91
1502;94
1500;96
1501;98
1504;101
1506;103
1504;105
1498;108
1498;110
1503;112
1505;115
1510;117
1511;120
1509;122
1505;124
1500;128
1496;130
1494;132
1496;135
1499;137
1499;139
1499;142
1500;144
1500;146
1499;149
1498;151
1496;153
1495;156
1496;158
1497;161
1498;163
1501;165
1501;168
1497;171
1494;173
1493;176
1492;178
1492;180
1493;183
1495;185
1498;187
1502;190
1504;192
1508;194
1507;197
1502;199
1501;202
1500;204
1497;206
1498;209
1503;211
1506;214
1505;217
1503;219
1502;221
1502;224
1501;226
1500;228
1495;231
1493;233
1491;236
1491;238
1496;240
1497;243
1496;245
1496;247
1498;250
1503;252
1506;254
1506;258
1500;260
1495;262
1493;265
1492;267
1491;269
1492;272
1494;274
1492;277
1491;279
1493;281
1493;284
1490;286
1488;288
1487;291
1486;293
1491;295
1492;299
1490;301
1490;303
1494;306
1495;308
1493;310
1490;313
1487;315
1486;318
1486;320
1491;322
1494;325
1498;327
1498;329
1495;332
1492;334
1494;336
1500;339
1506;342
1511;344
1510;347
1501;349
1499;352
1493;354
1486;356
1483;359
1481;361
1483;363
1483;366
1481;368
1481;370
1483;373
1485;375
1487;377
1488;380
1483;382
1480;385
1478;388
1477;390
1477;393
1477;395
1477;397
1477;400
1478;402
1480;404
1482;407
1483;409
1482;411
1482;414
1482;416
1492;418
1503;421
1506;423
1500;425
1494;429
1490;431
1487;434
1490;436
1497;438
1499;441
1498;443
1493;445
1492;448
1492;450
1490;452
1488;455
1486;457
1484;459
1484;462
1484;464
1483;466
1482;470
1480;472
1478;475
1477;477
1478;479
1480;482
1479;484
1477;486
1478;489
1479;491
1482;493
1485;496
1489;498
1488;500
1484;503
1483;505
1485;508
1486;510
1486;513
1484;516
1484;518
1483;520
1484;523
1486;525
1490;527
1490;530
1491;532
1494;534
1492;537
1490;539
1489;541
1487;544
1487;546
1486;549
1485;551
1486;553
1491;557
1497;559
1496;561
1496;564
1496;566
1492;568
1486;571
1484;573
1483;575
1483;578
1483;580
1484;582
1491;585
1495;587
1495;590
1490;592
1491;594
1490;598
1488;600
1485;602
1486;605
1488;607
1487;609
1484;612
1483;614
1484;616
1487;619
1488;621
1489;624
1487;626
1485;628
1486;631
1487;633
1488;635
1488;638
1490;641
1491;643
1490;646
1489;648
1489;650
1489;653
1490;655
1490;658
1494;660
1516;662
1524;665
1515;667
1507;669
1499;672
1494;674
1491;676
1491;679
1494;681
1495;684
1495;687
1495;689
1497;691
1495;694
1493;696
1490;699
1488;701
1488;703
1488;706
1489;708
1491;710
1493;713
1493;715
1493;717
1492;720
1492;722
1492;724
1492;728
1492;730
1496;732
1502;735
1506;737
1508;740
1509;742
1506;744
1501;747
1500;749
1499;751
1498;754
1499;756
1505;758
1508;761
1510;763
1509;765
1509;769
1505;771
1500;774
1498;776
1498;778
1497;781
1496;783
1494;785
1495;788
1497;790
1497;792
1495;795
1494;797
1495;799
1495;802
1494;804
1493;806
1492;809
1494;812
1497;815
1498;817
1498;819
1497;822
1497;824
1498;826
1498;829
1501;831
1506;833
1507;836
1508;838
1513;840
1510;843
1506;845
1503;848
1503;850
1503;852
1502;856
1502;858
1501;860
1499;863
1499;865
1499;867
1497;870
1495;872
1495;874
1496;877
1499;879
1503;881
1507;884
1503;886
1498;889
1496;891
