emg;time
1481;2
1485;4
1491;7
1495;9
1496;11
1491;13
1491;16
1489;18
1486;20
1483;23
1478;25
1477;27
1479;30
1494;32
1505;34
1506;36
1499;39
1492;41
1488;44
1488;47
1487;49
1483;51
1479;54
1478;56
1478;58
1481;61
1487;63
1493;65
1494;67
1491;70
1485;72
1482;74
1482;77
1481;79
1479;81
1481;84
1494;87
1498;89
1500;91
1498;94
1495;96
1492;98
1487;101
1484;103
1484;105
1486;108
1491;110
1491;112
1492;115
1497;117
1499;120
1498;122
1491;124
1486;128
1486;130
1488;132
1489;135
1486;137
1487;139
1492;142
1493;144
1492;146
1492;149
1489;151
1492;153
1494;156
1495;158
1493;161
1491;163
1493;165
1500;168
1509;171
1507;173
1502;176
1497;178
1500;180
1505;183
1507;185
1503;187
1499;190
1496;192
1494;194
1493;197
1492;199
1494;202
1499;204
1502;206
1501;209
1508;211
1510;214
1510;217
1512;219
1510;221
1504;224
1501;226
1497;228
1494;231
1492;233
1495;235
1497;238
1496;240
1499;243
1508;245
1510;247
1506;250
1504;252
1502;254
1499;258
1494;260
1490;262
1486;265
1484;267
1484;269
1485;272
1487;274
1488;277
1490;279
1491;281
1495;284
1497;286
1500;288
1504;291
1501;293
1497;295
1497;299
1497;301
1500;303
1502;306
1501;308
1505;310
1503;313
1497;315
1493;318
1490;320
1488;322
1485;325
1484;327
1485;329
1484;332
1483;334
1483;336
1483;339
1487;342
1494;344
1504;347
1509;349
1511;351
1511;354
1509;356
1504;359
1496;361
1487;363
1483;366
1481;368
1481;370
1482;373
1491;375
1495;377
1495;380
1495;382
1492;385
1493;388
1501;390
1508;392
1516;395
1513;397
1505;400
1500;402
1496;404
1493;407
1491;409
1489;411
1485;414
1480;416
1477;418
1474;421
1472;423
1473;425
1475;429
1475;431
1476;434
1481;436
1494;438
1509;441
1516;443
1513;445
1504;448
1500;450
1496;452
1494;455
1491;457
1495;459
1496;462
1492;464
1490;466
1487;470
1489;472
1498;475
1519;477
1544;479
1543;482
1527;484
1514;486
1506;489
1504;491
1512;493
1524;496
1528;498
1538;500
1537;503
1529;505
1537;507
1532;510
1518;513
1513;516
1521;518
1522;520
1516;523
1516;525
1516;527
1527;530
1542;532
1552;534
1594;537
1599;539
1582;541
1546;544
1525;546
1517;548
1528;551
1536;553
1529;557
1514;559
1504;561
1532;564
1551;566
1563;568
1560;571
1540;573
1538;575
1543;578
1560;580
1562;582
1542;585
1520;587
1489;590
1468;592
1469;594
1470;598
1477;600
1517;602
1538;605
1533;607
1546;609
1574;612
1582;614
1568;616
1549;619
1539;621
1513;623
1479;626
1507;628
1518;631
1508;633
1530;635
1545;638
1540;641
1536;643
1518;646
1497;648
1456;650
1452;653
1464;655
1464;657
1460;660
1455;662
1455;665
1467;667
1466;669
1467;672
1458;674
1462;676
1476;679
1450;681
1425;684
1396;687
1393;689
1414;691
1455;694
1491;696
1555;698
1550;701
1495;703
1441;706
1412;708
1400;710
1399;713
1407;715
1413;717
1436;720
1459;722
1447;724
1433;728
1430;730
1436;732
1440;735
1479;737
1508;740
1514;742
1513;744
1496;747
1461;749
1449;751
1448;754
1447;756
